Wavelength,F8BT,MEH-PPV,TPP/PFO,LN
500,0.0885,0.000282,0.0094,0.353
520,0.488,0.00362,0.00562,0.36
540,1.0,0.0589,0.00833,0.303
560,0.979,0.42,0.00193,0.262
580,0.829,1.0,0.0021,0.214
600,0.625,0.998,0.00392,0.183
620,0.408,0.832,0.0161,0.135
640,0.296,0.798,0.215,0.127
660,0.228,0.622,1.0,0.141
680,0.125,0.441,0.264,0.111
700,0.0871,0.361,0.302,0.1
720,0.0686,0.255,0.541,0.0753
740,0.0396,0.176,0.242,0.054
760,0.0192,0.121,0.0651,0.0378
780,0.0108,0.0853,0.0365,0.0312
800,0.0062,0.0551,0.028,0.0247
