,Wavelength,Pdot mixture,F8BT Pdot,MEH-PPV Pdot,TPP-doped PFO Pdot,Autofluorescence
0,500,0.5986,0.3073428636567344,0.0013067492507870984,0.015425919444434267,0.27218560957050697
1,520,2.021,1.694726751011146,0.016774582581025873,0.009222730561459636,0.2775830579189306
2,540,3.996,3.472800719285135,0.2729345066360287,0.013669990316184835,0.23363240708176664
3,560,5.551,3.399871904180147,1.9462222884063165,0.0031672366518891632,0.20201878104099955
4,580,7.494,2.8789517962873767,4.633862591443611,0.0034462160460970166,0.16500770665180878
5,600,7.189,2.1705004495532094,4.624594866260724,0.006432936619381098,0.14110472110878974
6,620,5.411,1.4169026934683349,3.855373676081084,0.026420989686743796,0.104093646719599
7,640,5.141,1.0279490129084,3.697822347972002,0.3528268809099327,0.09792513432140054
8,660,5.475,0.7917985639970108,2.882262531877926,1.6410552600461985,0.10872003101824783
9,680,2.937,0.43410008991064186,2.0435334028266325,0.43323858865219644,0.08558810952500362
10,700,2.429,0.30248094264973524,1.6728243955111435,0.49559868853395195,0.07710640497748074
11,720,2.377,0.23823412934296023,1.181634960818121,0.8878108956849935,0.058061122948043
12,740,1.408,0.13752290848369136,0.8155598160940755,0.39713537293118,0.0416374586878396
13,760,0.7351,0.06667777381027458,0.560697373564677,0.10683269742900753,0.02914622108148772
14,780,0.4914,0.03750624776827946,0.39526847905014,0.05989851699168624,0.02405719835297399
15,800,0.3409,0.021531364459567836,0.255325828788543,0.04594954728129356,0.01904528202943774
